TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,YEAR,POSTSEASON,SEED
UNLV,MWC,33,24-9,108.9,91.6,0.8798,50.9,46,18.6,24,33.1,31.7,39.1,39.7,51.5,44.3,33,32.9,67.9,2.8,2011,8,R64
Texas,B12,34,24-10,113.1,92.6,0.9091,51.1,44.9,18.3,20.4,38.9,32.1,40.7,35.2,50.9,43.6,34.5,32.2,72.7,3.9,2010,8,R64
UNLV,MWC,33,24-9,110.5,92,0.8909,52.2,45.8,17.2,22.7,29,30.8,30.9,47.2,53.4,43.2,33.3,33.7,67.7,1,2010,8,R64
BYU,MWC,32,24-8,113,92.6,0.9084,54.8,45.9,16.5,20.1,28.3,25.7,35.2,36.3,53.6,46.3,38.1,30.2,70.1,2.3,2009,8,R64
Ohio St.,B10,33,22-11,112,95.1,0.8682,54.8,47.7,21.1,21.3,28.2,34.1,38.3,24.6,53.9,44.6,37.5,34.8,64.1,3.2,2009,8,R64
Indiana,B10,33,25-8,114.1,94.9,0.8926,52.3,47.3,20,19.8,36.1,29.1,41.9,31,52.3,45.1,34.9,34.1,68.4,4.8,2008,8,R64
BYU,MWC,35,27-8,105.9,90,0.8675,53.2,43.2,19.5,19.1,30.6,26.4,37.3,30.5,51.6,42.8,37.3,29.5,70.2,2.5,2008,8,R64
Butler,Horz,37,27-10,111,94.5,0.8636,49.8,48.1,16.9,18.9,33.2,28.1,37.9,39,47.9,48,35.2,32.2,64.7,-0.4,2011,8,2ND
Saint Louis,A10,33,25-8,110.6,89.4,0.9199,51.8,45.1,17.9,23,31.5,29.1,35.5,37.2,50,44.4,36.6,31.6,62.3,2.8,2012,9,R32
Illinois,B10,34,20-14,113.9,91,0.9298,52.9,45.7,19.2,18.3,31.7,31.5,28.2,32.7,50.5,45.7,38.7,30.5,66.6,1.6,2011,9,R32
Wake Forest,ACC,31,20-11,106.6,92.2,0.8418,47,43.8,21.1,19.1,38.8,33.7,40.8,38.5,47.2,43.8,30.8,29.2,70,1,2010,9,R32
Texas A&M,B12,33,23-10,112.7,96.8,0.8523,50.4,48.8,19.2,18.3,36.2,29.7,46.5,30.1,48.7,46.3,36.2,36.4,65.1,1.9,2009,9,R32
Siena,MAAC,35,27-8,109.4,97.3,0.7929,51,49.2,18.2,23.3,34.3,34.9,35.7,24.4,51.5,48.4,33,33.9,71.7,0.1,2009,9,R32
Texas A&M,B12,35,25-11,112.1,91.1,0.9155,52,44.9,19.2,17.4,35,28.1,41.8,26.7,51.2,42.2,35.7,33.8,63.8,3.1,2008,9,R32
Arkansas,SEC,35,23-12,110.8,94.5,0.8611,51.9,48.4,21.8,21.2,37.6,31.9,37.9,35.6,52.3,47.4,34.1,33.5,68.6,0.5,2008,9,R32
Alabama,SEC,33,21-12,104.3,88.3,0.872,49.1,43.7,20.2,21.2,33.5,31.6,36.2,38.2,51.3,43.9,28.9,28.9,62.9,1.5,2012,9,R64
Connecticut,BE,34,20-14,109.8,94.7,0.8457,50,44.6,19,16.9,36.3,34.8,34.6,25.3,50.1,40.9,33.2,34.4,64.1,0.5,2012,9,R64
Southern Miss,CUSA,32,23-9,110,99.3,0.7645,46.2,50.5,16.4,21.2,36.5,28.2,39.8,40.7,43.1,49.2,35.5,35.6,64.7,1.2,2012,9,R64
Villanova,BE,33,21-12,113.7,96.3,0.8722,49.5,46.3,18,18.2,35.8,30.2,42.3,36.5,48.2,45.3,34.8,32,66.3,1.5,2011,9,R64
Tennessee,SEC,34,19-15,108.1,93.8,0.8372,47.6,47.9,19.8,20.7,37.8,32.3,39.7,37.5,48.7,46.8,30,33.2,67.2,-1.1,2011,9,R64
Old Dominion,CAA,34,27-7,108.6,95,0.8237,48.5,47.3,20.6,19,45.4,28.2,37.6,27.5,48.1,42.8,32.9,36.6,61.6,2.3,2011,9,R64
Florida St.,ACC,32,22-10,103.5,85.9,0.8944,50.5,43.5,24.3,23.6,38.1,32.4,38.6,34.8,50.7,40.3,33.5,32.8,67.1,2.8,2010,9,R64
Louisville,BE,33,20-13,113.9,97.2,0.8608,51.4,48.5,20,22.3,39.8,36.9,35.7,41,51.9,46.7,33.7,34.7,67.4,-0.1,2010,9,R64
Tennessee,SEC,34,21-13,114.4,96.4,0.8774,50.9,50.6,18.6,21.1,37.9,31,36.7,36.8,52.9,50.7,31.5,33.7,69.4,1.2,2009,9,R64
Butler,Horz,31,25-6,108.8,94.1,0.8412,51.7,44.6,20.1,20.6,32.5,29.6,43.5,34,50.6,42.3,35.2,32.6,63.9,2.4,2009,9,R64
Oregon,P10,32,18-14,118,101.5,0.8497,55.8,50.3,18.4,16.4,32,31,36.7,34.3,53.8,50.4,39.2,33.4,68,0.8,2008,9,R64
Kent St.,MAC,35,28-7,105.9,93.7,0.8044,52.5,46.6,21.8,24.2,35.7,35.6,41.1,37.8,50.9,46,37.3,31.7,66.6,2.3,2008,9,R64
Northern Iowa,MVC,35,30-5,108.3,89.4,0.9007,49.6,46.6,17.9,20.4,30.7,26.8,37,28.8,47.5,44.7,35.4,33.3,60.2,3.7,2010,9,S16
