TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,YEAR,POSTSEASON,SEED
Marquette,BE,37,22-15,114.1,96.2,0.8772,51,49.9,18,20.5,36.1,33.2,44.3,28.9,50.5,48,34.9,35.8,67.6,0.8,2011,11,S16
Washington,P10,36,26-10,112,92.3,0.9023,49.7,46.5,17.5,22,36.9,32.2,40.9,44.6,49.5,45.9,33.6,32.1,73.2,1.2,2010,11,S16
VCU,CAA,36,29-7,106,91.7,0.8409,47.6,47.3,17.4,27.3,33.4,33.9,36.3,36.7,46,46.9,33.4,32.1,66,2.2,2012,12,R32
South Florida,BE,35,21-14,102.2,88.6,0.838,48.3,44.1,22.5,18.6,34.1,30.5,34.1,32.3,49,43.2,31.2,30.7,59.5,0.1,2012,12,R32
Wisconsin,B10,33,20-13,111.5,93.7,0.8813,49.9,48.9,16.6,19.4,31.3,25.8,34.6,34.1,47.7,49,36,32.6,60.4,0.3,2009,12,R32
Western Kentucky,SB,33,24-9,109.1,101.2,0.704,52.4,49.5,20.1,19.7,37.1,30.9,33.8,31.3,49.9,48.2,37.7,34.9,66.8,-2.1,2009,12,R32
Harvard,Ivy,30,25-5,107.3,93.7,0.8272,52.5,45.4,20.4,20,30.7,26.9,42,30.2,52.1,43.3,35.6,34.1,61.3,2.2,2012,12,R64
Long Beach St.,BW,32,23-9,108,95.3,0.808,52.3,47.7,19.1,21.7,34.4,31.4,42.6,27.9,51.9,46.1,35.5,34.1,67.3,0.9,2012,12,R64
Clemson,ACC,34,22-12,109.4,90.3,0.9008,50.3,45.6,20.1,23.2,34.2,32.5,38.5,34.8,49.5,43.6,34.4,33.1,64.8,0.7,2011,12,R64
Utah St.,WAC,33,29-4,109.3,90.6,0.8972,52.2,43.4,18.4,18.8,34,26,43.4,34.6,51.6,42.6,35.7,30,63.3,3.7,2011,12,R64
Memphis,CUSA,35,25-10,103.5,95.9,0.7059,50.5,46.8,21.9,21.3,35.3,35,39.6,39.1,51,45.6,32.9,33,69.1,0,2011,12,R64
